"id_product";"product";"Id_lang"
135;"1 litre OCP Epson Stylus Photo RX 700 (T5593) (Magenta)";1
136;"1 litre OCP Epson Stylus Photo RX 700 (T5594) (Yellow)";1
137;"1 litre OCP Epson Stylus Photo RX 700 (T5595) (Light Cyan)";1
138;"1 litre OCP Epson Stylus Photo RX 700 (T5596) (Light Magenta)";1
139;"1 litre OCP HP 2000 (10/11) (Yellow)";1
140;"1 litre OCP HP 2000 (10/11) (Black)";1
141;"1 litre OCP HP 2000 (10/11) (Cyan)";1
142;"1 litre OCP HP 2000 (10/11) (Magenta)";1
143;"1 litre OCP HP 300/400/500 Serie (25) (Cyan)";1
144;"1 litre OCP HP 300/400/500 Serie (25) (Magenta)";1
145;"1 litre OCP HP 300/400/500 Serie (25) (Yellow)";1
146;"1 litre OCP HP 300/400/500 Serie (26/33) (Black)";1
147;"1 litre OCP HP 5550 Serie (21/27/56) (Black)";1
148;"1 litre OCP HP 5550 Serie (22/28/57) (Cyan)";1
149;"1 litre OCP HP 5550 Serie (22/28/57) (Magenta)";1
150;"1 litre OCP HP 5550 Serie (22/28/57) (Yellow)";1
151;"1 litre OCP HP 5550 Serie Photo (58) (Light Cyan)";1
152;"1 litre OCP HP 5550 Serie Photo (58) (Light Magenta)";1
153;"1 litre OCP HP 5550 Serie Photo (58) (Photo Black)";1
154;"1 litre OCP HP 5740 (338/339) (Black)";1
155;"1 litre OCP HP 5740 (343/344) (Cyan)";1
156;"1 litre OCP HP 5740 (343/344) (Magenta)";1
157;"1 litre OCP HP 5740 (343/344) (Yellow)";1
158;"1 litre OCP HP 5740 (344/344) (Light Cyan)";1
159;"1 litre OCP HP 5740 (345/344) (Light Magenta)";1
160;"1 litre OCP HP 5740 (346/344) (Photo Black)";1
161;"1 litre OCP HP 600 Serie (20/29) (Black)";1
162;"1 litre OCP HP 600 Serie (49) (Cyan)";1
163;"1 litre OCP HP 600 Serie (49) (Magenta)";1
164;"1 litre OCP HP 600 Serie (49) (Yellow)";1
165;"1 litre OCP HP 700/1200 Serie (15/45) (Black)";1
166;"1 litre OCP HP 700/1200 Serie (17/23/41/78) (Cyan)";1
167;"1 litre OCP HP 700/1200 Serie (17/23/41/78) (Magenta)";1
168;"1 litre OCP HP 700/1200 Serie (17/23/41/78) (Yellow)";1
169;"1 litre OCP HP 700/1200 Serie (Quick drying) (15/45) (Black)";1
170;"1 litre OCP HP 7xxx & Photosmart (59/100) (Dark Gray)";1
171;"1 litre OCP HP 7xxx & Photosmart (59/100) (Light Grey)";1
172;"1 litre OCP HP 7xxx & Photosmart (59/100) (Photo Black)";1
173;"1 litre OCP HP d125/135/145/155 (14) (Black)";1
174;"1 litre OCP HP d125/135/145/155 (14) (Cyan)";1
175;"1 litre OCP HP d125/135/145/155 (14) (Magenta)";1
176;"1 litre OCP HP d125/135/145/155 (14) (Yellow)";1
177;"1 litre OCP HP OfficeJet Pro 8000/8500 (940) (Black)";1
178;"1 litre OCP HP OfficeJet Pro 8000/8500 (940) (Cyan)";1
179;"1 litre OCP HP OfficeJet Pro 8000/8500 (940) (Magenta)";1
180;"1 litre OCP HP OfficeJet Pro 8000/8500 (940) (Yellow)";1
181;"1 litre OCP HP OfficeJet Pro 8100/8600 & 6600/6700 (950/932) (Black)";1
182;"1 litre OCP HP OfficeJet Pro 8100/8600 & 6600/6700 (951/933) (Cyan)";1
183;"1 litre OCP HP OfficeJet Pro 8100/8600 & 6600/6700 (951/933) (Magenta)";1
184;"1 litre OCP HP OfficeJet Pro 8100/8600 & 6600/6700 (951/933) (Yellow)";1
185;"1 litre OCP HP OfficeJet Pro K550 (88) (Black)";1
186;"1 litre OCP HP OfficeJet Pro K550 (88) (Cyan)";1
187;"1 litre OCP HP OfficeJet Pro K550 (88) (Magenta)";1
188;"1 litre OCP HP OfficeJet Pro K550 (88) (Yellow)";1
189;"1 litre OCP HP Photosmart 8250 (363 c, 351 +XL) (Cyan)";1
190;"1 litre OCP HP Photosmart 8250 (363 lb, 363 hb) (Black)";1
191;"1 litre OCP HP Photosmart 8250 (363 m, 351 +XL) (Magenta)";1
192;"1 litre OCP HP Photosmart 8250 (363 y, 351 + XL) (Yellow)";1
193;"1 litre OCP HP Photosmart 8250 Photo (363 lc) (Light Cyan)";1
194;"1 litre OCP HP Photosmart 8250 Photo (363 lm) (Light Magenta)";1
195;"1 litre OCP HP Photosmart D 5460 (Black Pigment)";1
196;"1 litre OCP HP Photosmart D 5460 (Cyan)";1
197;"1 litre OCP HP Photosmart D 5460 (Magenta)";1
198;"1 litre OCP HP Photosmart D 5460 (Yellow)";1
199;"1 litre OCP HP Photosmart D 5460 (364, 364 XL) (Black DYE)";1
200;"1 litre OCP Kodak EasyShare 5100, 5300 (1935766) (Optimizer)";1
201;"1 litre OCP Kodak EasyShare 5100, 5300 (Pigment) (1935766) (Cyan)";1
202;"1 litre OCP Kodak EasyShare 5100, 5300 (Pigment) (1935766) (Magenta)";1
203;"1 litre OCP Kodak EasyShare 5100, 5300 (Pigment) (1935766) (Photo Black)";1
204;"1 litre OCP Kodak EasyShare 5100, 5300 (Pigment) (1935766) (Yellow)";1
205;"1 litre OCP Kodak EasyShare 5100, 5300 (Pigment) (8891467) (Black)";1
206;"1 litre OCP Kodak ESP C110, 115, 310, 315, 330, 360 (30) (Black)";1
207;"1 litre OCP Kodak ESP C110, 115, 310, 315, 330, 360 (30) (Cyan)";1
208;"1 litre OCP Kodak ESP C110, 115, 310, 315, 330, 360 (30) (Magenta)";1
209;"1 litre OCP Kodak ESP C110, 115, 310, 315, 330, 360 (30) (Yellow)";1
210;"1 litre OCP Lexmark Z & X Serie (Black)";1
211;"1 litre OCP Lexmark Z & X Serie (Cyan)";1
212;"1 litre OCP Lexmark Z & X Serie (Magenta)";1
213;"1 litre OCP Lexmark Z & X Serie (Yellow)";1
214;"1 litre OCP Lexmark Z & X Serie Foto (90) (Light Cyan)";1
215;"1 litre OCP Lexmark Z & X Serie Foto (90) (Light Magenta)";1
216;"1 litre OCP Lexmark Z & X Serie Foto (90) (Photo Black)";1
217;"1 litre OCP Lexmark Z 8xx Serie P310/915/6250/X5200 (31) (Light Cyan)";1
218;"1 litre OCP Lexmark Z 8xx Serie P310/915/6250/X5200 (31) (Light Magenta)";1
219;"1 litre OCP Lexmark Z 8xx Serie P310/915/6250/X5200 (31) (Photo Black)";1
220;"1 litre OCP Lexmark Z 8xx Serie P310/915/6250/X5200 (32/34) (Black)";1
221;"1 litre OCP Lexmark Z 8xx Serie P310/915/6250/X5200 (33/35) (Cyan)";1
222;"1 litre OCP Lexmark Z 8xx Serie P310/915/6250/X5200 (33/35) (Magenta)";1
223;"1 litre OCP Lexmark Z 8xx Serie P310/915/6250/X5200 (33/35) (Yellow)";1
224;"1 litre OCP Olivetti (FJ*/FPJ*/XP-01/XP-02) (Black)";1
225;"1 litre OCP Xerox DokuPrint M750/760, WorkCentre M940 (8R12728) (Black)";1
226;"1 litre OCP Xerox DokuPrint M750/760, WorkCentre M940 (8R7972) (Cyan)";1
227;"1 litre OCP Xerox DokuPrint M750/760, WorkCentre M940 (8R7973) (Magenta)";1
228;"1 litre OCP Xerox DokuPrint M750/760, WorkCentre M940 (8R7974) (Yellow)";1
229;"1 litre OCP Xerox WorkCentre 450 (8R7660) (Black)";1
230;"1 litre OCP Xerox WorkCentre 450 (8R7661) (Cyan)";1
231;"1 litre OCP Xerox WorkCentre 450 (8R7662) (Magenta)";1
232;"1 litre OCP Xerox WorkCentre 450 (8R7663) (Yellow)";1
233;"1 litre OCP Xerox WorkCentre 470/480/490 (8R7880) (Cyan)";1
234;"1 litre OCP Xerox WorkCentre 470/480/490 (8R7880) (Magenta)";1
235;"1 litre OCP Xerox WorkCentre 470/480/490 (8R7880) (Yellow)";1
236;"1 litre OCP Xerox WorkCentre 470/480/490 (8R7881) (Black)";1
237;"100 ml OCP Brother DCP-130C, DCP-135C (Black)";1
238;"100 ml OCP Brother DCP-130C, DCP-135C (Cyan)";1
239;"100 ml OCP Brother DCP-130C, DCP-135C (Magenta)";1
240;"100 ml OCP Brother DCP-130C, DCP-135C (Yellow)";1
